hora,800,802,806,808,810,812,812r,814,816,818,820,822,824,826,828,830,832,834,836,838,840,842,844,846,848,850,852,852r,854,856,858,860,862,864
0,1.0505970659065016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.0505970903489994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1.0505949800956955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1.0505949776249717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1.0505970879234294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1.05063939179868,1.0505191271120267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1.0506384889471005,1.050565999119799,1.0505296461306293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1.050690631387007,1.0506708957754498,1.0506693060605634,1.0507987635540048,,1.0506687918816047,1.050729881942254,1.0505008536311793,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1.050614724347733,1.0505947847188246,1.0505948115033372,1.050779849304561,,1.0506695520151854,1.0507247686672103,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1.0505897190250353,1.0505696966560243,1.0505702533271937,1.0507738072046118,,1.0506725726719905,1.050725849908559,1.0505002509966583,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1.0505646606358843,1.0505444381180769,1.050545446548195,1.050766157949028,,1.0506726414096401,1.0507239734702056,1.0505000797130164,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,1.0507393108864749,,1.050666503253568,1.0507119950001997,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,1.0507347916271879,,1.0506655943220133,1.0507101145473778,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,1.050501956522166,,,1.050746217068633,,1.05067222331818,1.0507186972005624,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,1.050564543351673,1.0505441748927855,1.0505450854899105,1.0507639785119747,,1.050668357209053,1.0507196735637496,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
