2026-09-25 12:25:22.034 | ==============================================================================
2026-09-25 12:25:22.034 | CASO leaderless x C0_perda_0.10: topologia nominal, canal probabilistico com perda 0.10 por mensagem
2026-09-25 12:25:22.034 | Grafo nominal: (1,2) (2,3) (3,4) (4,5) (5,6) (2,5) | agentes: 1(816) 2(824) 3(828) 4(830) 5(850) 6(832)
2026-09-25 12:25:22.035 | [t=00:00] sem sobretensão: nenhuma mensagem trocada
2026-09-25 12:25:22.036 | [t=01:00] sem sobretensão: nenhuma mensagem trocada
2026-09-25 12:25:22.037 | [t=02:00] sem sobretensão: nenhuma mensagem trocada
2026-09-25 12:25:22.039 | [t=03:00] sem sobretensão: nenhuma mensagem trocada
2026-09-25 12:25:22.040 | [t=04:00] sem sobretensão: nenhuma mensagem trocada
2026-09-25 12:25:22.042 | [t=05:00] sem sobretensão: nenhuma mensagem trocada
2026-09-25 12:25:22.043 | [t=06:00] sem sobretensão: nenhuma mensagem trocada
2026-09-25 12:25:22.044 | [t_sim=07:00:00.000 k=000] MSG #0000001 1(816) -> 2(824) stNum=1 sqNum=0 | rho=0.000000 V=1.056254 pu | ENTREGUE
2026-09-25 12:25:22.044 | [t_sim=07:00:00.000 k=000] MSG #0000002 2(824) -> 1(816) stNum=1 sqNum=0 | rho=0.000000 V=1.055885 pu | ENTREGUE
2026-09-25 12:25:22.044 | [t_sim=07:00:00.000 k=000] MSG #0000003 2(824) -> 3(828) stNum=1 sqNum=0 | rho=0.000000 V=1.055885 pu | ENTREGUE
2026-09-25 12:25:22.044 | [t_sim=07:00:00.000 k=000] MSG #0000004 2(824) -> 5(850) stNum=1 sqNum=0 | rho=0.000000 V=1.055885 pu | ENTREGUE
2026-09-25 12:25:22.044 | [t_sim=07:00:00.000 k=000] MSG #0000005 3(828) -> 2(824) stNum=1 sqNum=0 | rho=0.000000 V=1.055824 pu | ENTREGUE
2026-09-25 12:25:22.044 | [t_sim=07:00:00.000 k=000] MSG #0000006 3(828) -> 4(830) stNum=1 sqNum=0 | rho=0.000000 V=1.055824 pu | ENTREGUE
2026-09-25 12:25:22.044 | [t_sim=07:00:00.000 k=000] MSG #0000007 4(830) -> 3(828) stNum=1 sqNum=0 | rho=0.000000 V=1.053994 pu | ENTREGUE
2026-09-25 12:25:22.044 | [t_sim=07:00:00.000 k=000] MSG #0000008 4(830) -> 5(850) stNum=1 sqNum=0 | rho=0.000000 V=1.053994 pu | ENTREGUE
2026-09-25 12:25:22.044 | [t_sim=07:00:00.000 k=000] MSG #0000009 5(850) -> 4(830) stNum=1 sqNum=0 | rho=0.000000 V=1.056262 pu | ENTREGUE
2026-09-25 12:25:22.044 | [t_sim=07:00:00.000 k=000] MSG #0000010 5(850) -> 6(832) stNum=1 sqNum=0 | rho=0.000000 V=1.056262 pu | ENTREGUE
2026-09-25 12:25:22.044 | [t_sim=07:00:00.000 k=000] MSG #0000011 5(850) -> 2(824) stNum=1 sqNum=0 | rho=0.000000 V=1.056262 pu | ENTREGUE
2026-09-25 12:25:22.044 | [t_sim=07:00:00.000 k=000] MSG #0000012 6(832) -> 5(850) stNum=1 sqNum=0 | rho=0.000000 V=1.050274 pu | ENTREGUE
2026-09-25 12:25:22.044 | [t_sim=07:00:00.000 k=000] enlaces 6/6 | perdidos: - | isolados: - | partições: {1,2,3,4,5,6} | λ2=0.657 | msgs 12 enviadas, 0 perdidas | saltos até o líder 1:0 2:1 3:2 4:3 5:2 6:3 | idade da info 1:0 2:0 3:0 4:0 5:0 6:0
2026-09-25 12:25:22.044 | [t_sim=07:00:00.200 k=001] MSG #0000013 1(816) -> 2(824) stNum=2 sqNum=0 | rho=0.031269 V=1.056026 pu | ENTREGUE
2026-09-25 12:25:22.044 | [t_sim=07:00:00.200 k=001] MSG #0000014 2(824) -> 1(816) stNum=2 sqNum=0 | rho=0.029426 V=1.055638 pu | ENTREGUE
2026-09-25 12:25:22.045 | [t_sim=07:00:00.200 k=001] MSG #0000015 2(824) -> 3(828) stNum=2 sqNum=0 | rho=0.029426 V=1.055638 pu | ENTREGUE
