hora,iteracao_k,erro_de_consenso_global,erro_de_consenso_max_intra_particao,enlaces_ativos,lambda_2,agente_isolado_c3,tensao_vista_pelo_controle_pu,tensao_maxima_barras_pv_pu,rho_816,tensao_816,rho_824,tensao_824,rho_828,tensao_828,rho_830,tensao_830,rho_850,tensao_850,rho_832,tensao_832,arquitetura,cenario
7,1,0.011667889066888454,0.011667889066888454,6,0.6570769172228301,False,1.0562616463457974,1.0562090401209845,0.031308231728987,1.0562010340562027,0.0,1.0558325065024865,0.0,1.0557716098237258,0.0,1.053940965296507,0.0,1.0562090401209845,0.0,1.0502210026912888,leader_follower,C0
7,2,0.020990828901204298,0.020990828901204298,6,0.6570769172228301,False,1.0562090401209845,1.0561550426916793,0.057135393712411386,1.0561468043500688,0.005218038621497834,1.0557768133725,0.0,1.0557159190447234,0.0,1.0538853082588195,0.0,1.0561550426916793,0.0,1.0501653235195862,leader_follower,C0
7,3,0.028824129273062455,0.028824129273062455,6,0.6570769172228301,False,1.0561550426916793,1.0561015985823412,0.0792577146556552,1.0560931349342313,0.012131584929484147,1.055721023317493,0.0008696731035829722,1.0556601176584228,0.0,1.0538295405108575,0.0008696731035829722,1.0561015985823412,0.0,1.0501095333028252,leader_follower,C0
7,4,0.035509780049153304,0.035509780049153304,6,0.6570769172228301,False,1.0561015985823412,1.0560490242983132,0.09857801927966583,1.0560403429229552,0.019565302608545596,1.0556656895557806,0.002601712890636006,1.0556047503415444,0.0002898910345276574,1.053774000202844,0.0024567673733721773,1.0560490242983132,0.0001449455172638287,1.050053856218454,leader_follower,C0
7,5,0.0412490978150297,0.0412490978150297,6,0.6570769172228301,False,1.0560490242983132,1.055997292724863,0.11565435465937801,1.0559884000280553,0.027055401228218465,1.0556108787309015,0.005043674200936213,1.0555498805441974,0.0010363407336864687,1.0537186135408172,0.004561740213408935,1.055997292724863,0.0005302491599485534,1.0499981298964702,leader_follower,C0
7,6,0.04618493481365807,0.04618493481365807,6,0.6570769172228301,False,1.055997292724863,1.0559463690212734,0.13087432604516663,1.0559372705601295,0.03440432879306309,1.0555566199798057,0.00804440646094163,1.0554955380445918,0.002291796224848504,1.0536633679963048,0.007051201960346715,1.0559463690212734,0.0012021643355252837,1.0499423087151598,leader_follower,C0
7,7,0.050429216444633065,0.050429216444633065,6,0.6570769172228301,False,1.0559463690212734,1.055896197160491,0.14452783827618265,1.0558868978127085,0.041530486807607375,1.0555029036073202,0.011478958476946353,1.0554417150725524,0.004043798886780393,1.0536082546177248,0.009841982539079504,1.055896197160491,0.002177003939662189,1.049886370266289,leader_follower,C0
7,8,0.05407421808227344,0.05407421808227344,6,0.6570769172228301,False,1.055896197160491,1.0558467266909304,0.15684259883387483,1.0558372308270945,0.04840670661917177,1.0554497164521246,0.015248353267028864,1.0553884009248953,0.006249356093857905,1.0535532843831088,0.012879539541881412,1.0558467266909304,0.0034545003728984084,1.049830325718036,leader_follower,C0
7,9,0.05719800329076322,0.05719800329076322,6,0.6570769172228301,False,1.0558467266909304,1.055797913429551,0.168003583586076,1.055788225020895,0.0550317685833834,1.0553970450509704,0.019274912630190856,1.05533558466316,0.008854219530723649,1.0534984778033432,0.016124863618595386,1.055797913429551,0.0050253402343955755,1.0497742032301975,leader_follower,C0
7,10,0.05986747576776098,0.05986747576776098,6,0.6570769172228301,False,1.055797913429551,1.055749718770449,0.1781645149000486,1.0557398414583117,0.06141644426416874,1.0553448763956144,0.02349760643914508,1.0552832556619127,0.011802775728613473,1.0534438586339232,0.019547653200714797,1.055749718770449,0.006875260798428877,1.0497180382750286,leader_follower,C0
