hora,800,802,806,808,810,812,812r,814,816,818,820,822,824,826,828,830,832,834,836,838,840,842,844,846,848,850,852,852r,854,856,858,860,862,864
0,1.0505970659065018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.0505970903489996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1.050594980095696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1.0505949776249721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1.0505970879234297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1.0506393917986803,1.050519127112027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1.0506384889471005,1.050565999119799,1.0505296461306295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1.050691045133136,1.050671182619407,1.0506695083202546,1.0507974619454474,,1.0506659099987878,1.0507270354717204,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1.0506152577283914,1.0505950809286264,1.0505949493433784,1.0507771299264557,,1.050663727597531,1.0507189871408171,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1.0505902837412087,1.0505699567500297,1.0505703098843127,1.0507701736148876,,1.0506648850544178,1.0507182058248776,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1.050565256640883,1.050544720515161,1.0505455193910718,1.0507624293396889,,1.0506647308844663,1.0507161089428374,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,1.0507356544711024,,1.050658687178247,1.0507042270026161,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,1.0507328039009871,,1.0506611391882121,1.0507057094623609,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,1.0505024841370798,,,1.050746659532213,,1.0506727111193916,1.0507192340133034,1.0505006486974862,,,,,,,,,,,,,,,,,,,,,,,,,,
14,1.0505648724088466,1.0505445063683936,1.050545418847281,1.0507643828647444,,1.0506689278626398,1.0507202752371576,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
