hora,800,802,806,808,810,812,812r,814,816,818,820,822,824,826,828,830,832,834,836,838,840,842,844,846,848,850,852,852r,854,856,858,860,862,864
0,1.0505970659065016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.0505970903489994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1.0505949800956955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1.0505949776249717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1.0505970879234294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1.05063939179868,1.0505191271120267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1.0506384889471005,1.050565999119799,1.0505296461306293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1.0506906089384862,1.0506708128078344,1.0506691825502559,1.05079789026866,,1.0506670597345733,1.05072814580357,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1.0506147194815167,1.0505947510312568,1.0505947585112902,1.0507794397627759,,1.0506687350523334,1.0507239503427992,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1.0505896954441962,1.050569603919287,1.0505701142583141,1.0507728107512475,,1.0506705926256068,1.0507238654527333,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1.0505646312543224,1.0505443307406048,1.0505452869122527,1.0507650307165495,,1.0506704028478384,1.0507217296583427,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,1.0507417606737635,,1.050671349612273,1.050716855573933,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,1.0507369165908216,,1.0506697968775192,1.0507143296349002,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,1.0505019477655477,,,1.0507456117575675,,1.0506710151709464,1.0507174868602438,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,1.0505646268986457,1.0505444094359875,1.0505454212247105,1.0507661908797001,,1.0506727320187825,1.0507240610671973,1.0505002054588055,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
