arquitetura,cenario,hora,numero_de_barras_com_sobretensao,numero_de_barras_com_subtensao,numero_de_fases_com_sobretensao,numero_de_fases_com_subtensao,tensao_maxima_rede_pu,tensao_minima_rede_pu,barras_com_sobretensao,barras_com_subtensao
sem_controle,sem_controle,0,1,0,1,0,1.0505970659065018,1.0140607431039363,800,
sem_controle,sem_controle,1,1,0,1,0,1.0505970903489996,1.01406413723379,800,
sem_controle,sem_controle,2,1,0,1,0,1.050594980095696,1.013884423095452,800,
sem_controle,sem_controle,3,1,0,1,0,1.0505949776249721,1.013883944587805,800,
sem_controle,sem_controle,4,1,0,1,0,1.0505970879234297,1.014063670256571,800,
sem_controle,sem_controle,5,2,0,4,0,1.0506393917986803,1.0176714409682215,800 802,
sem_controle,sem_controle,6,3,0,5,0,1.0506384889471005,1.018543865173867,800 802 806,
sem_controle,sem_controle,7,16,0,30,0,1.0562617280018054,1.0285183463314975,800 802 806 808 810 812 812r 814 850 816 824 826 828 830 854 856,
sem_controle,sem_controle,8,29,0,43,0,1.0600224693101732,1.02844486430497,800 802 806 808 810 812 812r 814 850 816 824 826 828 830 854 832 858 834 860 842 836 840 862 844 846 848 852r 856 852,
sem_controle,sem_controle,9,29,0,48,0,1.063644270184672,1.0308065140456022,800 802 806 808 810 812 812r 814 850 816 824 826 828 830 854 832 858 834 860 842 836 840 862 844 846 848 852r 856 852,
sem_controle,sem_controle,10,29,0,52,0,1.0650792320748368,1.0309013199914676,800 802 806 808 810 812 812r 814 850 816 824 826 828 830 854 832 858 834 860 842 836 840 862 844 846 848 852r 856 852,
sem_controle,sem_controle,11,16,0,28,0,1.0612351336810568,1.0229159878429854,800 802 806 808 810 812 812r 814 850 816 824 826 828 830 854 856,
sem_controle,sem_controle,12,15,0,23,0,1.0584769217309185,1.0192634443688613,800 802 806 808 810 812 812r 814 850 816 824 826 828 830 854,
sem_controle,sem_controle,13,15,0,23,0,1.0552058855642394,1.0167919994122336,800 802 806 808 810 812 812r 814 850 816 824 826 828 830 854,
