hora,800,802,806,808,810,812,812r,814,816,818,820,822,824,826,828,830,832,834,836,838,840,842,844,846,848,850,852,852r,854,856,858,860,862,864
0,1.0505970659065016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.0505970903489994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1.0505949800956955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1.0505949776249717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1.0505970879234294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1.05063939179868,1.0505191271120267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1.0506384889471005,1.050565999119799,1.0505296461306293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1.050690600213255,1.0506708012240686,1.050669169044291,1.0507978401993958,,1.050666965388677,1.0507280505377943,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1.0506146467585316,1.050594552919705,1.0505944763701114,1.0507775993946795,,1.0506650995107667,1.0507203039781663,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1.0505895838489778,1.0505692872682055,1.0505696601915548,1.0507698089136028,,1.0506646565691324,1.0507179123624366,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1.0505645649473785,1.0505441470258021,1.0505450245142678,1.05076330895231,,1.050666999088247,1.0507183158983302,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,1.0507391636058752,,1.0506662097340123,1.050711700885154,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,1.0507334111792714,,1.05066285764222,1.0507073705137746,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,1.0505018894640692,,,1.0507442119743406,,1.0506682499598772,1.0507147130850383,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,1.0505645422992498,1.0505441716546309,1.0505450807870929,1.0507639466638796,,1.050668294122256,1.0507196103079866,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
