arquitetura,cenario,hora,numero_de_barras_com_sobretensao,numero_de_barras_com_subtensao,numero_de_fases_com_sobretensao,numero_de_fases_com_subtensao,tensao_maxima_rede_pu,tensao_minima_rede_pu,barras_com_sobretensao,barras_com_subtensao
sem_controle,sem_controle,0,1,0,1,0,1.0505970659065016,1.0140607431039375,800,
sem_controle,sem_controle,1,1,0,1,0,1.0505970903489994,1.01406413723379,800,
sem_controle,sem_controle,2,1,0,1,0,1.0505949800956955,1.0138844230954527,800,
sem_controle,sem_controle,3,1,0,1,0,1.0505949776249717,1.013883944587805,800,
sem_controle,sem_controle,4,1,0,1,0,1.0505970879234294,1.0140636702565697,800,
sem_controle,sem_controle,5,2,0,4,0,1.05063939179868,1.017671440968221,800 802,
sem_controle,sem_controle,6,3,0,5,0,1.0506384889471005,1.018543865173867,800 802 806,
sem_controle,sem_controle,7,16,0,30,0,1.056261728001806,1.0285183463314966,800 802 806 808 810 812 812r 814 850 816 824 826 828 830 854 856,
sem_controle,sem_controle,8,29,0,43,0,1.060022469310173,1.028444864304971,800 802 806 808 810 812 812r 814 850 816 824 826 828 830 854 832 858 834 860 842 836 840 862 844 846 848 852r 856 852,
sem_controle,sem_controle,9,29,0,48,0,1.0636442701846716,1.0308065140456015,800 802 806 808 810 812 812r 814 850 816 824 826 828 830 854 832 858 834 860 842 836 840 862 844 846 848 852r 856 852,
sem_controle,sem_controle,10,29,0,52,0,1.065079232074837,1.0309013199914676,800 802 806 808 810 812 812r 814 850 816 824 826 828 830 854 832 858 834 860 842 836 840 862 844 846 848 852r 856 852,
sem_controle,sem_controle,11,16,0,28,0,1.0612351336810562,1.0229159878429854,800 802 806 808 810 812 812r 814 850 816 824 826 828 830 854 856,
sem_controle,sem_controle,12,15,0,23,0,1.0584769217309196,1.019263444368861,800 802 806 808 810 812 812r 814 850 816 824 826 828 830 854,
sem_controle,sem_controle,13,15,0,23,0,1.055205885564239,1.0167919994122323,800 802 806 808 810 812 812r 814 850 816 824 826 828 830 854,
sem_controle,sem_controle,14,11,0,16,0,1.0526369445086063,1.0175056090385015,800 802 806 808 812 812r 814 850 816 824 828,
sem_controle,sem_controle,15,0,0,0,0,1.0502955102085092,0.990060042259522,,
sem_controle,sem_controle,16,0,0,0,0,1.0504162382880025,0.9988178632506997,,
sem_controle,sem_controle,17,0,0,0,0,1.0501995250985579,0.9801203631009803,,
sem_controle,sem_controle,18,0,0,0,0,1.0503034017860868,0.9889942358029205,,
