hora,P_disponivel_kw_816,P_gerada_kw_816,rho_816,P_disponivel_kw_824,P_gerada_kw_824,rho_824,P_disponivel_kw_828,P_gerada_kw_828,rho_828,P_disponivel_kw_830,P_gerada_kw_830,rho_830,P_disponivel_kw_850,P_gerada_kw_850,rho_850,P_disponivel_kw_832,P_gerada_kw_832,rho_832
0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0
1,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0
2,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0
3,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0
4,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0
5,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0
6,15.625241782068514,15.625241782068514,0.0,18.7503236717592,18.7503236717592,0.0,12.500217712144039,12.500217712144039,0.0,16.250349249231203,16.250349249231203,0.0,11.250173385025839,11.250173385025839,0.0,14.375428037447017,14.375428037447017,0.0
7,46.87517293313687,18.61842694088833,0.6028083154497225,56.25022149623055,22.94366241820892,0.5921142270101933,37.5001485947879,15.492156967836706,0.5868774029659994,48.75022589866941,20.155044982918497,0.5865650374196201,33.75012402307615,13.78142764782331,0.5916628607506198,43.12526281682057,17.824553532223835,0.5866794602255951
8,85.41699505727426,37.826299315041545,0.5571571509302351,102.50042166162328,46.559574457449244,0.5457620367992142,68.3336153984155,31.420743032460038,0.5401860635485476,88.83371835195031,40.881124062748995,0.539801619841038,61.500235529711425,27.99955985181377,0.5447242740782448,78.58368122625447,36.14100785289242,0.540095104904993
9,109.37601284631825,44.005622214805285,0.5976665290143482,131.25131045548136,54.440032249078826,0.5852228533829497,87.50087691178362,36.82759627177229,0.5791173114549593,113.75120240741592,47.94153449799211,0.5785402980229467,78.75072641675408,32.77290538675586,0.5838398791484402,100.62608243787051,42.36821161409998,0.5789538036229777
10,122.91832344661765,50.32976766727755,0.5905429329076783,147.5021549968269,62.2379517387938,0.5780538708926746,98.33477563339,42.10232312066149,0.5718469811534223,127.83531212541376,54.82906320963173,0.5710960007538438,88.50118824629206,37.54343864252492,0.5757859783131803,113.08509765957483,48.53537912407628,0.5708064241916755
11,125.00095820040144,70.05754047543506,0.43954390576578933,150.001236886605,85.97024618967477,0.4268696771231851,100.00082698006277,57.94672474058983,0.42053746857587565,130.0010999926479,75.44128847459372,0.41968719756237927,90.00068721246933,51.73235409964825,0.4252003864555714,115.00091021308904,66.73818060044437,0.41967239330211725
12,114.58396773874748,73.52359650997317,0.3583429995733917,137.50081165419755,89.91683754911523,0.3460631407711479,91.66720978907196,60.51625782986771,0.3398264687982822,119.16742075355486,78.72978776941086,0.33933451036471934,82.50045497883245,54.09257324857575,0.3443359856559402,105.41738649349563,69.61424176358189,0.3396320331157145
13,91.6669848640404,67.35755433087095,0.26519279290417397,110.00040505482875,82.11232073232893,0.25352702338692706,73.33360485734525,55.1603365564183,0.24781629345737508,95.33373775739992,71.7510379332895,0.2473698103957282,66.0002281957597,49.33496276579897,0.2525030734712229,84.33378990708088,63.42466940753708,0.24793269073698077
14,62.500202437773986,51.33506417559549,0.17864156499308398,75.0002602939109,62.44315339986923,0.16742743452145584,50.00017469064095,41.889957322567355,0.1622037030650126,65.00026965300577,54.46467229349885,0.16208533987604928,45.00014517667484,37.497237548099726,0.16673067343751463,57.50032283596856,48.13725096129901,0.16283496257282912
15,28.124947780995655,28.124947780995655,0.0,33.74993266947013,33.74993266947013,0.0,22.499954843307243,22.499954843307243,0.0,29.249932364570526,29.249932364570526,0.0,20.249962553957726,20.249962553957726,0.0,25.87492450439264,25.87492450439264,0.0
16,3.125032294596891,3.125032294596891,0.0,3.750042140959568,3.750042140959568,0.0,2.5000282767911695,2.5000282767911695,0.0,3.2500425487402573,3.2500425487402573,0.0,2.2500231591709623,2.2500231591709623,0.0,2.875047132931725,2.875047132931725,0.0
17,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0
18,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0
19,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0
20,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0
21,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0
22,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0
23,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0
